"country_of_bean_origin","avg_rating"
"Australia",3.25
"Belize",3.24
"Blend",3.08
"Bolivia",3.18
"Bolvia",3.25
"Brazil",3.25
"Burma",3
"Cameroon",3.08
"Colombia",3.22
"Congo",3.32
"Costa rica",3.15
"Cuba",3.29
"Dominican republic",3.21
"Dr congo",3
"Ecuador",3.21
"El salvador",3
"Fiji",3.07
"Gabon",3.25
"Ghana",3.16
"Grenada",3.01
"Guatemala",3.27
"Haiti",3.27
"Honduras",3.23
"India",3.14
"Indonesia",3.16
"Ivory coast",2.75
"Jamaica",3.17
"Liberia",3.08
"Madagascar",3.26
"Malaysia",3.04
"Martinique",2.75
"Mexico",3.11
"Nicaragua",3.24
"Nigeria",2.88
"Panama",3.16
"Papua new guinea",3.27
"Peru",3.2
"Philippines",3.11
"Principe",2.75
"Puerto rico",2.75
"Samoa",3.08
"Sao tome",3.07
"Sao tome & principe",3.5
"Sierra leone",2.83
"Solomon islands",3.45
"Sri lanka",2.88
"St. lucia",3.08
"St.vincent-grenadines",2.75
"Sulawesi",3.25
"Sumatra",3
"Suriname",3.25
"Taiwan",2.88
"Tanzania",3.23
"Thailand",3.3
"Tobago",3.25
"Togo",3.08
"Trinidad",3.22
"U.s.a.",3.19
"Uganda",2.88
"Vanuatu",3.06
"Venezuela",3.23
"Vietnam",3.25
