"company_location","avg_rating"
"Argentina",3.5
"Australia",3.37
"Austria",3.26
"Belgium",3.19
"Bolivia",3.25
"Brazil",3.27
"Canada",3.31
"Chile",3.75
"Colombia",3.19
"Costa rica",3.14
"Czech republic",3
"Denmark",3.34
"Dominican republic",3.12
"Ecuador",3.06
"El salvador",3
"Fiji",3.25
"Finland",3.25
"France",3.26
"Germany",3.26
"Ghana",2.75
"Grenada",2.83
"Guatemala",3.35
"Honduras",3.21
"Hungary",3.2
"Iceland",3.31
"India",2.62
"Ireland",2.9
"Israel",3.25
"Italy",3.25
"Japan",3.2
"Lithuania",3.12
"Madagascar",3.13
"Malaysia",2.83
"Martinique",2.75
"Mexico",2.97
"Netherlands",3.24
"New zealand",3.24
"Nicaragua",3.1
"Norway",3.33
"Peru",3.07
"Philippines",3.15
"Poland",3.5
"Portugal",2.75
"Puerto rico",2.62
"Russia",3.25
"Sao tome",3.5
"Sao tome & principe",2.81
"Scotland",3.33
"Singapore",3.15
"South africa",2.75
"South korea",3.16
"Spain",3.26
"St. lucia",2.75
"St.vincent-grenadines",2.75
"Suriname",3.25
"Sweden",3
"Switzerland",3.31
"Taiwan",3.1
"Thailand",3.3
"U.a.e.",3.38
"United Kingdom",3.1
"United States of America",3.18
"Vanuatu",2.75
"Venezuela",3.11
"Vietnam",3.33
"Wales",2.75
