"country_of_bean_origin","Count"
"Australia",2
"Belize",56
"Blend",64
"Bolivia",55
"Bolvia",1
"Brazil",50
"Burma",1
"Cameroon",2
"Colombia",45
"Congo",9
"Costa rica",29
"Cuba",10
"Dominican republic",145
"Dr congo",1
"Ecuador",122
"El salvador",3
"Fiji",12
"Gabon",1
"Ghana",29
"Grenada",15
"Guatemala",40
"Haiti",22
"Honduras",22
"India",17
"Indonesia",15
"Ivory coast",4
"Jamaica",18
"Liberia",3
"Madagascar",116
"Malaysia",4
"Martinique",1
"Mexico",35
"Nicaragua",48
"Nigeria",2
"Panama",7
"Papua new guinea",38
"Peru",143
"Philippines",14
"Principe",1
"Puerto rico",6
"Samoa",2
"Sao tome",10
"Sao tome & principe",1
"Sierra leone",3
"Solomon islands",8
"Sri lanka",2
"St. lucia",5
"St.vincent-grenadines",1
"Sulawesi",1
"Sumatra",1
"Suriname",1
"Taiwan",2
"Tanzania",59
"Thailand",2
"Tobago",1
"Togo",1
"Trinidad",34
"U.s.a.",14
"Uganda",10
"Vanuatu",8
"Venezuela",114
"Vietnam",47
